FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970402;0100;2;;;
970402;0200;2;;;
970402;0300;4;;;
970402;0400;2;;;
970402;0500;4;;;
970402;0600;3;;;
970402;0700;3;;;
970402;0800;8;;;
970402;0900;22;;;
970402;1000;40;;;
970402;1100;54;;;
970402;1200;67;;;
970402;1300;93;;;
970402;1400;121;;;
970402;1500;69;;;
970402;1600;43;;;
970402;1700;40;;;
970402;1800;8;;;
970402;1900;2;;;
970402;2000;2;;;
970402;2100;2;;;
970402;2200;2;;;
970402;2300;2;;;
970403;0000;3;;;
970403;0100;10;;;
970403;0200;12;;;
970403;0300;12;;;
970403;0400;15;;;
970403;0500;13;;;
970403;0600;8;;;
970403;0700;4;;;
970403;0800;8;;;
970403;0900;16;;;
970403;1000;39;;;
970403;1100;63;;;
970403;1200;85;;;
970403;1300;94;;;
970403;1400;80;;;
970403;1500;41;;;
970403;1600;24;;;
970403;1700;13;;;
970403;1800;3;;;
970403;1900;2;;;
970403;2000;2;;;
970403;2100;2;;;
970403;2200;2;;;
970403;2300;2;;;
970404;0000;2;;;
970404;0100;4;;;
970404;0200;10;;;
970404;0300;13;;;
970404;0400;13;;;
970404;0500;13;;;
970404;0600;10;;;
970404;0700;4;;;
970404;0800;7;;;
970404;0900;14;;;
970404;1000;27;;;
970404;1100;55;;;
970404;1200;80;;;
970404;1300;127;;;
970404;1400;129;;;
970404;1500;138;;;
970404;1600;94;;;
970404;1700;69;;;
970404;1800;28;;;
970404;1900;4;;;
970404;2000;3;;;
970404;2100;2;;;
970404;2200;2;;;
970404;2300;2;;;
970405;0000;3;;;
970405;0100;5;;;
970405;0200;7;;;
970405;0300;5;;;
970405;0400;16;;;
970405;0500;17;;;
970405;0600;18;;;
970405;0700;12;;;
970405;0800;16;;;
970405;0900;32;;;
970405;1000;44;;;
970405;1100;66;;;
970405;1200;101;;;
970405;1300;148;;;
970405;1400;140;;;
970405;1500;103;;;
970405;1600;81;;;
970405;1700;62;;;
970405;1800;32;;;
970405;1900;9;;;
970405;2000;2;;;
970405;2100;3;;;
970405;2200;2;;;
970405;2300;2;;;
970406;0000;2;;;
970406;0100;2;;;
970406;0200;3;;;
970406;0300;3;;;
970406;0400;10;;;
970406;0500;15;;;
970406;0600;17;;;
970406;0700;17;;;
970406;0800;21;;;
970406;0900;35;;;
970406;1000;50;;;
970406;1100;70;;;
970406;1200;103;;;
970406;1300;117;;;
970406;1400;108;;;
970406;1500;83;;;
970406;1600;60;;;
970406;1700;48;;;
970406;1800;25;;;
970406;1900;3;;;
970406;2000;1;;;
970406;2100;1;;;
970406;2200;2;;;
970406;2300;2;;;
970407;0000;5;;;
970407;0100;9;;;
970407;0200;17;;;
970407;0300;21;;;
970407;0400;19;;;
